,,predicted y test using no of feature according to heatmap,,,,,,,,
actual y tes,,1,2,3,4,5,6,7,8,predicted y usong all features
0.066808251,,0.059024315,0.061769957,0.064443081,0.066632679,0.067961655,0.067774449,0.06646752,0.066211394,0.066211394
0.059498937,,0.071231452,0.064159127,0.065623532,0.061886454,0.062336295,0.061151843,0.06232141,0.059537545,0.059537545
0.092415479,,0.071231452,0.080695633,0.101396277,0.083184798,0.087656791,0.084702777,0.083097061,0.078376295,0.078376295
0.082016942,,0.071231452,0.07825688,0.069815995,0.084388792,0.082533307,0.085356147,0.085110289,0.084050183,0.084050183
0.135140116,,0.071231452,0.08211684,0.11209531,0.100404573,0.098021876,0.099721046,0.094591234,0.114022609,0.114022609
0.047389207,,0.054217492,0.042840813,0.056345493,0.057172642,0.060833162,0.076197961,0.08331469,0.06506857,0.06506857
0.049431838,,0.039009048,0.038315822,0.042402645,0.041647336,0.040462044,0.036036817,0.039003363,0.043888874,0.043888874
0.064188508,,0.071231452,0.064159127,0.064282369,0.06140826,0.059402339,0.059977757,0.062045106,0.063732617,0.063732617
0.047747889,,0.073862881,0.074300333,0.054017708,0.04931383,0.049497533,0.050482134,0.051105183,0.047587031,0.047587031
0.029924749,,0.040153317,0.037155632,0.037759933,0.04353033,0.033873537,0.03477386,0.033737319,0.030510708,0.030510708
0.355423367,,0.357281021,0.375940243,0.297282141,0.32275798,0.324285792,0.307941526,0.326905727,0.336430535,0.336430535
0.03161232,,0.071231452,0.040995629,0.035842518,0.037057425,0.033915116,0.03217417,0.033375649,0.032079699,0.032079699
0.039966972,,0.05389822,0.05179007,0.051003871,0.043682463,0.039885895,0.03898787,0.037278652,0.03965088,0.03965088
0.037655386,,0.044864969,0.041973538,0.046707866,0.04629286,0.033072357,0.033797236,0.034857378,0.034669221,0.034669221
0.156855181,,0.071231452,0.090808715,0.095999062,0.096306513,0.101348707,0.102204078,0.097757603,0.159193188,0.159193188
0.03115753,,0.04011591,0.034444084,0.030527353,0.029346005,0.032162241,0.034029133,0.034746745,0.031513512,0.031513512
0.130471079,,0.110987543,0.119604483,0.118909708,0.120346989,0.118932223,0.117503365,0.116315219,0.122851526,0.122851526
0.024033342,,0.071231452,0.054881591,0.028412568,0.025879257,0.025641054,0.025509445,0.025143664,0.025639293,0.025639293
0.09075725,,0.071231452,0.08211684,0.100371884,0.107555368,0.110489061,0.097290996,0.097980599,0.098003783,0.098003783
0.037204617,,0.058884751,0.054930046,0.056821352,0.051628144,0.048554871,0.049096645,0.048915912,0.047658661,0.047658661
0.067991016,,0.071231452,0.07104382,0.065392618,0.068128915,0.068422462,0.071107765,0.067095943,0.065377602,0.065377602
0.092972909,,0.089391866,0.092264024,0.091188884,0.08881138,0.089853171,0.091028416,0.089381839,0.091447024,0.091447024
0.059030503,,0.071231452,0.08211684,0.071494151,0.080352483,0.080487454,0.074724528,0.071457175,0.073967379,0.073967379
0.066592159,,0.071231452,0.064159127,0.063663146,0.061258589,0.061974577,0.061267708,0.062627714,0.063682153,0.063682153
0.093054132,,0.086439651,0.090514701,0.089595018,0.09713684,0.098315851,0.098300319,0.099035387,0.094514687,0.094514687
0.034526098,,0.044864969,0.041973538,0.036651169,0.03571738,0.038317674,0.038929321,0.039760331,0.035808574,0.035808574
0.085746873,,0.071231452,0.07825688,0.072095928,0.085453435,0.083794311,0.079470051,0.07854823,0.084491471,0.084491471
0.055545219,,0.071231452,0.07104382,0.059483428,0.056190798,0.057642381,0.055820722,0.056673104,0.058012146,0.058012146
0.032197722,,0.042848539,0.068960797,0.031127107,0.035416013,0.03765252,0.041625836,0.036998774,0.033935472,0.033935472
0.075921121,,0.077670816,0.083679113,0.078940711,0.079529664,0.08054858,0.080893997,0.079896717,0.075982251,0.075982251
0.113693676,,0.073862881,0.074300333,0.096106959,0.087569116,0.086533269,0.089163596,0.085600208,0.108754298,0.108754298
0.061191557,,0.071231452,0.08211684,0.06896609,0.065878893,0.067848004,0.078703726,0.078749253,0.076686517,0.076686517
0.052980356,,0.071231452,0.074006876,0.069701906,0.057557323,0.058358572,0.057808005,0.05487297,0.05511489,0.05511489
0.02616286,,0.090036362,0.044970927,0.040609167,0.040456339,0.035548325,0.035815207,0.036150031,0.030697783,0.030697783
0.047601792,,0.071231452,0.074006876,0.069695262,0.052211653,0.051513655,0.05096521,0.048890951,0.053137027,0.053137027
0.051373402,,0.040153317,0.044175259,0.040925701,0.041560296,0.037247129,0.042175093,0.038979592,0.054708473,0.054708473
0.076185176,,0.071231452,0.07825688,0.083951326,0.090728653,0.090247376,0.08184342,0.0835243,0.0793267,0.0793267
0.022246375,,0.042593694,0.067379949,0.038463993,0.037158322,0.054272379,0.052783959,0.05118673,0.041562477,0.041562477
0.042481203,,0.043666256,0.048637722,0.045464641,0.044037521,0.042336767,0.043527246,0.043654491,0.04367521,0.04367521
0.028188421,,0.053545592,0.033592083,0.031456499,0.026373984,0.057913156,0.050254385,0.051894612,0.04146796,0.04146796
0.069690605,,0.071231452,0.07825688,0.066717122,0.072795555,0.074142676,0.08228195,0.078393397,0.074735214,0.074735214
0.05689203,,0.040153317,0.037155632,0.041363019,0.054719316,0.048979666,0.051041691,0.05101843,0.054325594,0.054325594
0.056256721,,0.043808173,0.052267704,0.052477234,0.054327291,0.054911006,0.055040799,0.054119661,0.053367213,0.053367213
0.034827753,,0.041388411,0.04662804,0.049677938,0.045141957,0.046719695,0.046539625,0.047928231,0.038383021,0.038383021
0.03805959,,0.038456241,0.039073277,0.035318977,0.034181835,0.036501432,0.033106975,0.033299551,0.036474482,0.036474482
0.053985517,,0.054050608,0.044858355,0.048387148,0.040854023,0.040535969,0.04017987,0.038563783,0.044659191,0.044659191
0.052372587,,0.041383101,0.037595447,0.041705091,0.036342995,0.036789196,0.038669511,0.036358697,0.042363133,0.042363133
0.042758753,,0.038456241,0.04038231,0.039967186,0.04314177,0.044097954,0.041198692,0.039899485,0.042481916,0.042481916
0.058178973,,0.073862881,0.074300333,0.058636333,0.059039855,0.058057008,0.06012672,0.060537809,0.058730398,0.058730398
0.096137258,,0.059024315,0.061769957,0.067392091,0.067877471,0.069489435,0.070271564,0.068974519,0.080664085,0.080664085
0.041839646,,0.041383101,0.037595447,0.035015133,0.03630746,0.033790229,0.033265007,0.032843298,0.038783016,0.038783016
0.082229337,,0.071231452,0.090808715,0.101047729,0.088497659,0.086472373,0.083078079,0.096585535,0.091205229,0.091205229
0.05854405,,0.090036362,0.104634972,0.113272792,0.096478795,0.101059801,0.099893998,0.101014233,0.083689276,0.083689276
0.029731188,,0.058884751,0.054930046,0.059822815,0.053145454,0.050464949,0.05122725,0.053284363,0.046338932,0.046338932
0.075088684,,0.071231452,0.07825688,0.07062564,0.081990695,0.080671818,0.076165844,0.076232771,0.078040557,0.078040557
0.064930239,,0.071231452,0.073117259,0.075239106,0.069901817,0.071030411,0.067308407,0.066182334,0.065815366,0.065815366
0.09554185,,0.110987543,0.119604483,0.166005907,0.128756753,0.11481422,0.119616885,0.118835229,0.102792176,0.102792176
0.060661556,,0.071231452,0.074006876,0.059867455,0.058201452,0.05802695,0.059347767,0.060321599,0.061429606,0.061429606
0.095332758,,0.090036362,0.104634972,0.098506928,0.094035246,0.094382402,0.094976103,0.095284064,0.089865924,0.089865924
0.026446186,,0.071231452,0.040995629,0.035632728,0.032141309,0.028887767,0.028333356,0.0313407,0.025337954,0.025337954
0.061781111,,0.059024315,0.061769957,0.067712428,0.070786378,0.069067123,0.070040291,0.070724197,0.061627373,0.061627373
0.056126819,,0.073862881,0.074300333,0.058636333,0.053231285,0.05379005,0.053768094,0.054685689,0.055409102,0.055409102
0.036875909,,0.043666256,0.043811477,0.037614117,0.039473074,0.037106804,0.033786167,0.035014052,0.033977842,0.033977842
0.03772365,,0.046681141,0.041675536,0.04522341,0.046659281,0.04121002,0.047956773,0.047978032,0.042104323,0.042104323
0.065713063,,0.071231452,0.074006876,0.055391182,0.05600808,0.055771283,0.058221829,0.057924808,0.069094287,0.069094287
0.038517547,,0.044864969,0.041973538,0.04721339,0.046836025,0.042705668,0.042149111,0.043578778,0.037532703,0.037532703
0.049964807,,0.071231452,0.074006876,0.056053481,0.058439339,0.055818305,0.05110656,0.053373956,0.051263598,0.051263598
0.068768818,,0.071231452,0.07825688,0.069809351,0.072170835,0.071576558,0.067895742,0.067609066,0.067411472,0.067411472
0.044785499,,0.046681141,0.041876712,0.042311438,0.042655519,0.035042551,0.03717894,0.036691197,0.041727129,0.041727129
0.056081269,,0.073862881,0.074300333,0.070250075,0.058285185,0.056491636,0.056927036,0.05896387,0.064532418,0.064532418
0.054884226,,0.073862881,0.074300333,0.061243781,0.05629303,0.054827545,0.054125495,0.053538912,0.055558072,0.055558072
0.065233562,,0.071231452,0.064159127,0.067362796,0.068162759,0.06526201,0.066544888,0.065658964,0.064791413,0.064791413
0.056180021,,0.044160217,0.048587863,0.051653259,0.047215654,0.050271028,0.050988965,0.048768314,0.049982288,0.049982288
0.05799646,,0.073862881,0.074300333,0.055269144,0.058253957,0.059092481,0.060426252,0.061244813,0.058494458,0.058494458
0.052703327,,0.073862881,0.074300333,0.054172865,0.052736794,0.052915316,0.053820351,0.053671764,0.053067407,0.053067407
0.053974836,,0.041383101,0.037595447,0.041705091,0.036601546,0.036890203,0.038652876,0.036851775,0.044922819,0.044922819
0.080275014,,0.071231452,0.074564549,0.104132483,0.105661283,0.103007962,0.089813118,0.093155723,0.084940528,0.084940528
0.096120069,,0.110987543,0.119604483,0.117729703,0.111161629,0.106642871,0.105111308,0.113524565,0.097727117,0.097727117
0.041645313,,0.040959892,0.038905611,0.038317565,0.039150705,0.03975239,0.040096868,0.039998637,0.04326176,0.04326176
0.042669009,,0.043666256,0.048637722,0.049205288,0.048183522,0.043649466,0.050379593,0.049444166,0.045627425,0.045627425
0.065953312,,0.071231452,0.064159127,0.068538652,0.070604148,0.07038317,0.070617128,0.070116038,0.066231788,0.066231788
0.025875102,,0.039009048,0.03349673,0.02697106,0.028867043,0.02939051,0.029314804,0.028565807,0.028047247,0.028047247
0.063184884,,0.041388411,0.04662804,0.054306498,0.053392736,0.055865532,0.055488147,0.055529757,0.056835331,0.056835331
0.037320348,,0.044864969,0.041973538,0.043323049,0.042246334,0.038025224,0.038220098,0.037296349,0.036720722,0.036720722
0.056523079,,0.043322151,0.036135127,0.032883745,0.032954614,0.031850365,0.034724853,0.033349549,0.04177048,0.04177048
0.06897037,,0.071231452,0.07104382,0.069956827,0.070367869,0.071557368,0.07274193,0.072910631,0.072171295,0.072171295
0.060571674,,0.046681141,0.040339517,0.041081217,0.037753601,0.036922472,0.038969702,0.041691594,0.047547228,0.047547228
0.072102106,,0.071231452,0.073117259,0.077860361,0.080353967,0.083531037,0.079965147,0.075163952,0.07255402,0.07255402
0.035850141,,0.042071201,0.041336562,0.037167811,0.039020727,0.03826652,0.039676278,0.038239449,0.038972161,0.038972161
0.144254706,,0.071231452,0.074006876,0.124554756,0.13536452,0.1349657,0.138608197,0.135760961,0.139271923,0.139271923
0.076232587,,0.071231452,0.07825688,0.071696943,0.082906114,0.080270478,0.073558638,0.072286102,0.079594232,0.079594232
0.047173434,,0.071231452,0.07104382,0.063144986,0.06563621,0.066665275,0.065719589,0.063041295,0.054242261,0.054242261
0.058185142,,0.059024315,0.061769957,0.058528715,0.061938097,0.059525132,0.059566545,0.059365214,0.057776837,0.057776837
0.080208123,,0.071231452,0.07104382,0.086152671,0.088786782,0.085404198,0.088811923,0.086857027,0.081871574,0.081871574
0.041274032,,0.040153317,0.047674822,0.035042034,0.036046768,0.036101181,0.038995777,0.034699995,0.042451201,0.042451201
0.050262545,,0.043384603,0.053043596,0.055269156,0.054233627,0.055197267,0.056200691,0.054921356,0.053854204,0.053854204
0.082970885,,0.05389822,0.05179007,0.059555498,0.05118003,0.051583765,0.04412418,0.045143726,0.072939488,0.072939488
0.060303393,,0.071231452,0.080695633,0.071476181,0.074956216,0.076275004,0.081810747,0.082621827,0.091884168,0.091884168
0.037114341,,0.041383101,0.037595447,0.036624304,0.047397194,0.046281427,0.047145083,0.045579334,0.039608639,0.039608639
0.08981698,,0.071231452,0.07104382,0.078936612,0.086730771,0.083695241,0.081153639,0.081354599,0.08330225,0.08330225
0.060891839,,0.059024315,0.061769957,0.058860174,0.059114269,0.058935125,0.06042654,0.05863253,0.059087618,0.059087618
0.06554233,,0.034318348,0.039123937,0.041381865,0.040302291,0.052989573,0.05484439,0.054745143,0.060575655,0.060575655
0.038971616,,0.04011591,0.040210917,0.035658921,0.037106053,0.035627902,0.036185467,0.037201558,0.035062834,0.035062834
0.080748112,,0.076502379,0.092487159,0.086915308,0.085239824,0.085022364,0.083949286,0.085509566,0.082182825,0.082182825
0.355423367,,0.067881004,0.290501952,0.279402076,0.265774444,0.255422698,0.272011007,0.263530417,0.273896469,0.273896469
0.045831544,,0.046745315,0.054075844,0.054628591,0.048955979,0.048229885,0.049195314,0.048546437,0.045988365,0.045988365
0.065905765,,0.071231452,0.073117259,0.075663199,0.069817233,0.072035934,0.067754916,0.065896444,0.066982651,0.066982651
0.088897281,,0.071231452,0.073117259,0.078223608,0.08177803,0.080520875,0.079382352,0.079275475,0.076374996,0.076374996
0.099418357,,0.071231452,0.08211684,0.071696214,0.065306532,0.064332468,0.07333096,0.074653536,0.080914169,0.080914169
0.081531757,,0.071231452,0.07825688,0.061911482,0.065025182,0.066157472,0.062454103,0.065413061,0.074976855,0.074976855
0.056654814,,0.073862881,0.074300333,0.058636333,0.055153409,0.055430756,0.053330554,0.055262894,0.058448101,0.058448101
0.10583122,,0.071231452,0.07825688,0.096592287,0.096836725,0.099846989,0.097424355,0.097110476,0.107048898,0.107048898
0.152792553,,0.071231452,0.07825688,0.115092958,0.12112111,0.121957678,0.122989443,0.124157248,0.135665446,0.135665446
0.06631715,,0.059024315,0.061769957,0.064443081,0.064959774,0.066870188,0.067807038,0.066306635,0.062803017,0.062803017
0.043265181,,0.044864969,0.041973538,0.047023459,0.042195616,0.038280133,0.039164236,0.037778835,0.042601274,0.042601274
0.049718954,,0.043322151,0.053121404,0.047721951,0.048260867,0.072699646,0.081328722,0.086689367,0.072086439,0.072086439
0.067138914,,0.071231452,0.08211684,0.081431941,0.076098296,0.077428144,0.072303382,0.071656006,0.06406924,0.06406924
0.03612119,,0.040153317,0.037155632,0.038081802,0.036636056,0.037348058,0.037923769,0.037871867,0.037763252,0.037763252
0.059575056,,0.071231452,0.07825688,0.098350521,0.06776644,0.067502283,0.069338023,0.070719144,0.065054244,0.065054244
0.099214947,,0.090036362,0.104634972,0.119639594,0.098019698,0.102090027,0.093566506,0.095102315,0.091347884,0.091347884
0.334363207,,0.379610205,0.410832139,0.364573763,0.36841863,0.389863359,0.3823386,0.39934644,0.376913291,0.376913291
0.097464682,,0.110987543,0.119604483,0.112944046,0.122721671,0.112915782,0.108679925,0.114296058,0.102817932,0.102817932
0.042326693,,0.071231452,0.074006876,0.056294398,0.05120889,0.051439176,0.046064753,0.04523663,0.043616398,0.043616398
0.051062065,,0.071231452,0.07104382,0.062640838,0.054787406,0.055581984,0.05724704,0.056817879,0.054601478,0.054601478
0.054924665,,0.071231452,0.07104382,0.05892869,0.056499797,0.057333798,0.056423396,0.057276992,0.058066643,0.058066643
0.048937784,,0.041295302,0.031989876,0.037612113,0.038048763,0.045463031,0.035824569,0.03920147,0.042677431,0.042677431
0.033661149,,0.040153317,0.037155632,0.037759933,0.039539836,0.035570291,0.038541662,0.036738461,0.033476734,0.033476734
0.053929982,,0.071231452,0.07104382,0.062639631,0.063098382,0.063382662,0.059493649,0.060433794,0.056677955,0.056677955
0.090051997,,0.089391866,0.092264024,0.091188884,0.090975701,0.091542533,0.090926861,0.09202707,0.092013083,0.092013083
0.064738838,,0.071231452,0.073117259,0.079396212,0.07505145,0.068261965,0.070396204,0.070148801,0.067717275,0.067717275
0.081291231,,0.071231452,0.090808715,0.091561357,0.08100436,0.08073802,0.081443326,0.083283789,0.08348725,0.08348725
0.047479471,,0.058884751,0.054930046,0.060437582,0.058636444,0.051656483,0.053888524,0.053418748,0.0541272,0.0541272
0.034221575,,0.045299895,0.03182524,0.039233461,0.039918814,0.038588986,0.036097095,0.036379366,0.035749404,0.035749404
0.03370432,,0.05389822,0.05179007,0.050882035,0.048992742,0.051011421,0.046578389,0.045936847,0.036093028,0.036093028
0.055146228,,0.073862881,0.074300333,0.054834124,0.054288439,0.054431345,0.054399338,0.054919556,0.057162225,0.057162225
0.048706793,,0.043374465,0.041995181,0.046927259,0.044144655,0.045676132,0.046593603,0.047003696,0.047494368,0.047494368
0.101072123,,0.071231452,0.08211684,0.100371884,0.08388106,0.08955325,0.090626752,0.092474678,0.090613909,0.090613909
0.026564166,,0.071231452,0.038005564,0.036558604,0.032374416,0.028807771,0.029659122,0.033304838,0.025308091,0.025308091
