,,predicted y using no of features according to heatmap,,,,,,,,
actual y test,,1,2,3,4,5,6,7,8,predicted y using all features
0.093054132,,0.103060931,0.099828791,0.09897731,0.1026644,0.105613722,0.099842455,0.096735839,0.088786201,0.088786201
0.034526098,,0.05506372,0.046938232,0.058001176,0.05797492,0.056643111,0.052018787,0.050977504,0.043913186,0.043913186
0.085746873,,0.048039738,0.050998712,0.049797461,0.052218204,0.054710042,0.060184396,0.059574647,0.055733197,0.055733197
0.055545219,,0.048039738,0.056321708,0.053854369,0.057141267,0.058104597,0.061951989,0.061037806,0.060390011,0.060390011
0.032197722,,0.06442903,0.054022406,0.051587262,0.031287639,0.039649937,0.038433025,0.038941719,0.043222036,0.043222036
0.075921121,,0.052137061,0.145812918,0.145818878,0.141411303,0.137641007,0.137735242,0.134294155,0.128659458,0.128659458
0.113693676,,0.097207613,0.083635726,0.082439321,0.087972856,0.088430545,0.090775335,0.091681535,0.100843121,0.100843121
0.061191557,,0.048039738,0.043611887,0.041375338,0.045652095,0.047087213,0.044138851,0.04315987,0.05562055,0.05562055
0.052980356,,0.048039738,0.049084301,0.047651409,0.052085953,0.051430236,0.048195551,0.046942505,0.048774381,0.048774381
0.02616286,,0.065599693,0.05404761,0.051741641,0.043043696,0.046967006,0.052460275,0.053026886,0.047116146,0.047116146
0.047601792,,0.048039738,0.049084301,0.047767222,0.052452982,0.051228363,0.047737626,0.046437464,0.05020822,0.05020822
0.051373402,,0.076135667,0.063314202,0.060736335,0.055115224,0.045019668,0.042152739,0.041877356,0.047455758,0.047455758
0.076185176,,0.048039738,0.050998712,0.050015462,0.05303432,0.054223157,0.061090174,0.060491542,0.058337477,0.058337477
0.022246375,,0.069697016,0.058174764,0.055695733,0.05258259,0.02490478,0.022014904,0.020688767,0.015319317,0.015319317
0.042481203,,0.057990379,0.05138571,0.069547178,0.065519804,0.065068216,0.072906046,0.072650307,0.045482724,0.045482724
0.028188421,,0.083159649,0.068751068,0.066018878,0.054870532,0.040168903,0.044456484,0.044750239,0.048908018,0.048908018
0.069690605,,0.048039738,0.050998712,0.049170709,0.052515527,0.05385353,0.052475667,0.051397172,0.050236628,0.050236628
0.05689203,,0.075550335,0.062858017,0.064426704,0.069286757,0.067742858,0.070323687,0.070479802,0.083391998,0.083391998
0.056256721,,0.067941021,0.056908934,0.054609055,0.042065824,0.039175422,0.043343778,0.043649173,0.039223511,0.039223511
0.034827753,,0.072038344,0.060345032,0.057906062,0.050799268,0.039103006,0.040810768,0.040615372,0.030773127,0.030773127
0.03805959,,0.06150237,0.050564818,0.048312396,0.03975761,0.05146934,0.052979397,0.053517273,0.05886979,0.05886979
0.053985517,,0.049795734,0.051890999,0.05121544,0.055894454,0.053915755,0.047669377,0.046181817,0.055443783,0.055443783
0.052372587,,0.052722393,0.054312003,0.053538469,0.058227825,0.05651304,0.050261599,0.048884132,0.056147457,0.056147457
0.042758753,,0.06150237,0.050592834,0.048363916,0.040566765,0.050948489,0.058693283,0.059530952,0.066493716,0.066493716
0.058178973,,0.097207613,0.083635726,0.082330321,0.087881464,0.08839447,0.088126366,0.088879811,0.089215403,0.089215403
0.096137258,,0.053893056,0.080728064,0.085625836,0.08550201,0.082699033,0.079250282,0.077338404,0.096466257,0.096466257
0.041839646,,0.052722393,0.054312003,0.052884467,0.057724395,0.056313747,0.049933525,0.04856982,0.051829178,0.051829178
0.082229337,,0.048039738,0.063045494,0.067265779,0.068559809,0.06606472,0.061594281,0.107142578,0.10430661,0.10430661
0.05854405,,0.065599693,0.054785358,0.05880775,0.062292799,0.061642328,0.069547996,0.06971321,0.080331359,0.080331359
0.029731188,,0.147546151,0.128083245,0.126919514,0.133045507,0.135921464,0.129771557,0.128308716,0.121047922,0.121047922
0.075088684,,0.048039738,0.050998712,0.049565835,0.052109885,0.054579733,0.06001075,0.059398971,0.054874822,0.054874822
0.064930239,,0.048039738,0.063092187,0.063097682,0.065476613,0.064720077,0.059426703,0.054128285,0.046777628,0.046777628
0.09554185,,0.149302147,0.226190259,0.225458634,0.222058428,0.223576327,0.224038138,0.224076519,0.213557827,0.213557827
0.060661556,,0.048039738,0.049084301,0.047229032,0.051428272,0.05158535,0.053327824,0.05242056,0.057155174,0.057155174
0.095332758,,0.065599693,0.054785358,0.05718637,0.061334002,0.060901346,0.068054245,0.068198478,0.082392289,0.082392289
0.026446186,,0.048039738,0.038947261,0.036971079,0.022434872,0.040986857,0.032512734,0.032425752,0.032862695,0.032862695
0.061781111,,0.053893056,0.080728064,0.086552339,0.086046008,0.083125769,0.079853963,0.077939281,0.093514617,0.093514617
0.056126819,,0.097207613,0.083635726,0.082330321,0.088087724,0.088287801,0.091505066,0.092449843,0.097109751,0.097109751
0.036875909,,0.058575711,0.04823253,0.046040359,0.038390114,0.048359493,0.051015778,0.05142784,0.055680598,0.055680598
0.03772365,,0.065014362,0.053670803,0.051409836,0.044604889,0.052370017,0.051195364,0.051476233,0.046922189,0.046922189
0.065713063,,0.048039738,0.049084301,0.046956532,0.051468057,0.051289328,0.052875524,0.051942733,0.061415347,0.061415347
0.038517547,,0.05506372,0.046938232,0.053368661,0.055539017,0.054170518,0.048667971,0.047608213,0.044295119,0.044295119
0.049964807,,0.048039738,0.049084301,0.047133657,0.051198512,0.051689722,0.048137905,0.046932042,0.046281291,0.046281291
0.068768818,,0.048039738,0.050998712,0.049484085,0.052828737,0.053887589,0.061985259,0.061457407,0.062301405,0.062301405
0.044785499,,0.065014362,0.053642787,0.051361449,0.044568641,0.045287027,0.049532561,0.049825219,0.053300414,0.053300414
0.056081269,,0.097207613,0.083635726,0.082398446,0.088334812,0.08831883,0.091560808,0.092493106,0.101116223,0.101116223
0.054884226,,0.097207613,0.083635726,0.082357571,0.08811595,0.088289917,0.093948699,0.095038251,0.100582728,0.100582728
0.065233562,,0.048039738,0.060150531,0.058800476,0.06128149,0.061985325,0.070733764,0.069994826,0.063404948,0.063404948
0.056180021,,0.073209007,0.061196702,0.058801021,0.051558472,0.040431599,0.041705722,0.041553484,0.03794382,0.03794382
0.05799646,,0.097207613,0.083635726,0.082289446,0.087815083,0.088400914,0.08812332,0.088880566,0.088689546,0.088689546
0.052703327,,0.097207613,0.083635726,0.08222132,0.088020375,0.088232527,0.092757324,0.093782066,0.09845626,0.09845626
0.053974836,,0.052722393,0.054312003,0.053524844,0.058239652,0.056489842,0.050236443,0.04885706,0.056946151,0.056946151
0.080275014,,0.048039738,0.046983118,0.046931323,0.049644969,0.051362607,0.054805301,0.054123693,0.046348898,0.046348898
0.096120069,,0.149302147,0.226190259,0.223496628,0.22095117,0.22263447,0.222723026,0.22276293,0.211278997,0.211278997
0.041645313,,0.062087702,0.051072365,0.048826907,0.042006913,0.050632313,0.062394098,0.063396605,0.072425599,0.072425599
0.042669009,,0.057990379,0.05138571,0.072272186,0.066987152,0.066436529,0.076340607,0.07618266,0.051556285,0.051556285
0.065953312,,0.048039738,0.060150531,0.058882226,0.061046654,0.062264372,0.066368856,0.065378727,0.053871954,0.053871954
0.025875102,,0.062673034,0.051393141,0.049093957,0.041740215,0.055199406,0.056842813,0.057488386,0.062211715,0.062211715
0.063184884,,0.072038344,0.060368379,0.058022457,0.045065024,0.043116699,0.047726923,0.048243233,0.043343263,0.043343263
0.037320348,,0.05506372,0.046938232,0.059772431,0.059043405,0.057338157,0.053050316,0.051996399,0.059512381,0.059512381
0.056523079,,0.073794339,0.061195296,0.058644736,0.053952661,0.033524505,0.032312277,0.031585535,0.043277567,0.043277567
0.06897037,,0.048039738,0.056321708,0.054726372,0.057612362,0.05854114,0.061446506,0.060467328,0.056012762,0.056012762
0.060571674,,0.065014362,0.0534887,0.051230207,0.048682979,0.033688738,0.037844416,0.037358697,0.047105568,0.047105568
0.072102106,,0.048039738,0.063092187,0.071749584,0.070804111,0.068493778,0.064860801,0.059511781,0.070371236,0.070371236
0.035850141,,0.059161043,0.048651361,0.046462321,0.042677929,0.045430885,0.052637779,0.052952623,0.059419991,0.059419991
0.144254706,,0.048039738,0.049084301,0.049613415,0.051247026,0.054033119,0.050820603,0.049740799,0.043757394,0.043757394
0.076232587,,0.048039738,0.050998712,0.049661211,0.05236432,0.054454301,0.060131425,0.059513057,0.055890693,0.055890693
0.047173434,,0.048039738,0.056321708,0.05412687,0.057174243,0.05833852,0.060905148,0.059923003,0.051786587,0.051786587
0.058185142,,0.053893056,0.080728064,0.081402073,0.08300295,0.0807699,0.076513866,0.07461665,0.074559499,0.074559499
0.080208123,,0.048039738,0.056321708,0.055789125,0.057462958,0.059690712,0.063659715,0.062806745,0.049453163,0.049453163
0.041274032,,0.076135667,0.063477627,0.060875303,0.055868327,0.043003057,0.04011687,0.039701809,0.042993181,0.042993181
0.050262545,,0.067355689,0.056308,0.054039347,0.043407134,0.03704211,0.040606556,0.040669665,0.033454583,0.033454583
0.082970885,,0.051551729,0.043094499,0.043283184,0.048285603,0.047184799,0.040414761,0.03925017,0.048323495,0.048323495
0.060303393,,0.048039738,0.04358854,0.041654069,0.046682766,0.046459411,0.044459207,0.043445338,0.05480405,0.05480405
0.037114341,,0.052722393,0.054312003,0.053225093,0.057448315,0.056876958,0.050546328,0.049228566,0.040292999,0.040292999
0.08981698,,0.048039738,0.056321708,0.055516624,0.057726719,0.059203531,0.063134254,0.062240297,0.056410731,0.056410731
0.060891839,,0.053893056,0.080728064,0.081034197,0.082942679,0.080467551,0.076146316,0.074234848,0.07969315,0.07969315
0.06554233,,0.063258366,0.052264893,0.05000642,0.034137772,0.021328877,0.020575832,0.020068469,0.028636224,0.028636224
0.038971616,,0.059746375,0.049158908,0.046952308,0.039321921,0.049253531,0.055229268,0.055878593,0.061857125,0.061857125
0.080748112,,0.081403653,0.17002296,0.169389797,0.165431894,0.163355194,0.163479671,0.161090434,0.152460407,0.152460407
0.355423367,,0.139936837,0.231517072,0.229256835,0.223608328,0.225897437,0.228908737,0.228535515,0.234089302,0.234089302
0.045831544,,0.055649052,0.048729836,0.056789842,0.058083488,0.056731873,0.051630834,0.050569313,0.051261046,0.051261046
0.065905765,,0.048039738,0.063092187,0.062961431,0.065386099,0.064666295,0.059346558,0.05404959,0.047108577,0.047108577
0.088897281,,0.048039738,0.063092187,0.088944388,0.079916302,0.077253103,0.076872079,0.071568094,0.107963684,0.107963684
0.099418357,,0.048039738,0.043611887,0.041702339,0.045534629,0.047501947,0.044605986,0.043656549,0.053792239,0.053792239
0.081531757,,0.048039738,0.050998712,0.049129834,0.052135327,0.054138713,0.060824283,0.060265725,0.063208526,0.063208526
0.056654814,,0.097207613,0.083635726,0.082330321,0.08799535,0.088331625,0.093980817,0.095079153,0.099274906,0.099274906
0.10583122,,0.048039738,0.050998712,0.050383338,0.052733952,0.054833304,0.056284074,0.055407296,0.051654295,0.051654295
0.152792553,,0.048039738,0.050998712,0.051718592,0.053645028,0.055339846,0.056496136,0.055569582,0.055029641,0.055029641
0.06631715,,0.053893056,0.080728064,0.087942094,0.086463086,0.08410634,0.081086997,0.07920747,0.080822173,0.080822173
0.043265181,,0.05506372,0.046938232,0.050916153,0.054158424,0.053026234,0.047058247,0.046001714,0.042369373,0.042369373
0.049718954,,0.073794339,0.061517477,0.059057171,0.057379584,0.027729692,0.023900705,0.022541583,0.023359715,0.023359715
0.067138914,,0.048039738,0.043611887,0.04200209,0.045819174,0.047547368,0.042807736,0.041732487,0.043316909,0.043316909
0.03612119,,0.075550335,0.062858017,0.064167828,0.068958505,0.067774051,0.070299716,0.070474005,0.07002926,0.07002926
0.059575056,,0.048039738,0.050998712,0.050546839,0.054104172,0.053821091,0.062142885,0.06154754,0.06053812,0.06053812
0.099214947,,0.065599693,0.054785358,0.058058372,0.061810792,0.061333028,0.070422895,0.070674193,0.086390923,0.086390923
0.334363207,,0.180910066,0.270080426,0.266691836,0.26131252,0.266002545,0.269328076,0.270329267,0.269640216,0.269640216
0.097464682,,0.149302147,0.226190259,0.223074252,0.22065223,0.222483407,0.222489642,0.22253585,0.209997473,0.209997473
0.042326693,,0.048039738,0.049084301,0.047160907,0.051539292,0.05142508,0.047623279,0.046369355,0.045710305,0.045710305
0.051062065,,0.048039738,0.056321708,0.054058745,0.057401047,0.058079431,0.061748947,0.060807076,0.057664269,0.057664269
0.054924665,,0.048039738,0.056321708,0.053813494,0.057105888,0.058095482,0.061713251,0.060787037,0.060202477,0.060202477
0.048937784,,0.074965003,0.061995603,0.059494541,0.051216265,0.032664722,0.034680391,0.03433803,0.038981932,0.038981932
0.033661149,,0.075550335,0.062858017,0.064099703,0.068844916,0.06780548,0.070315744,0.0704975,0.066111484,0.066111484
0.053929982,,0.048039738,0.056321708,0.053976995,0.056918401,0.058412739,0.060945293,0.059980161,0.054807627,0.054807627
0.090051997,,0.105987591,0.099261446,0.098521161,0.10281911,0.105323457,0.099398712,0.096428182,0.092433847,0.092433847
0.064738838,,0.048039738,0.063092187,0.066272317,0.067554577,0.065999652,0.061319526,0.055990389,0.051807351,0.051807351
0.081291231,,0.048039738,0.063045494,0.063014766,0.066248905,0.063948791,0.058672496,0.104215394,0.098169885,0.098169885
0.047479471,,0.147546151,0.128083245,0.127001264,0.132668314,0.13632201,0.130173908,0.128752772,0.11633258,0.11633258
0.034221575,,0.080232989,0.06629271,0.063697914,0.060448353,0.050749636,0.054760214,0.05501971,0.05532444,0.05532444
0.03370432,,0.051551729,0.043094499,0.051049458,0.052667921,0.050913475,0.045620888,0.044450326,0.046230778,0.046230778
0.055146228,,0.097207613,0.083635726,0.082248571,0.08795243,0.088289636,0.092816147,0.093847836,0.097574923,0.097574923
0.048706793,,0.079062326,0.06610875,0.063518316,0.05683258,0.045294616,0.048354749,0.048476985,0.047819836,0.047819836
0.101072123,,0.048039738,0.043611887,0.042356341,0.045636927,0.048043597,0.043447526,0.042415022,0.044208713,0.044208713
0.026564166,,0.048039738,0.038905237,0.036933242,0.022417722,0.040983175,0.03250895,0.032423256,0.032952041,0.032952041
