,,predicted y usinf no of features according to headmap,,,,,,,,
actual y test,,1,2,3,4,5,6,7,8,predicted y using all feature
0.093054132,,0.091890727,0.089861842,0.089861842,0.089861842,0.090366789,0.090366789,0.090366789,0.090366789,0.090366789
0.034526098,,0.059995891,0.054895405,0.054895405,0.054895405,0.055370064,0.055370064,0.055370064,0.055370064,0.055370064
0.085746873,,0.055328354,0.057185761,0.057185761,0.057185761,0.057516148,0.057516148,0.057516148,0.057516148,0.057516148
0.055545219,,0.055328354,0.060527088,0.060527088,0.060527088,0.060798593,0.060798593,0.060798593,0.060798593,0.060798593
0.032197722,,0.066219273,0.059686878,0.059686878,0.059686878,0.057928399,0.057928399,0.057928399,0.057928399,0.057928399
0.075921121,,0.058051084,0.11685288,0.11685288,0.11685288,0.11618482,0.11618482,0.11618482,0.11618482,0.11618482
0.113693676,,0.088001113,0.079481812,0.079481812,0.079481812,0.080021638,0.080021638,0.080021638,0.080021638,0.080021638
0.061191557,,0.055328354,0.052548936,0.052548936,0.052548936,0.052961034,0.052961034,0.052961034,0.052961034,0.052961034
0.052980356,,0.055328354,0.055984055,0.055984055,0.055984055,0.056335619,0.056335619,0.056335619,0.056335619,0.056335619
0.02616286,,0.066997196,0.059745777,0.059745777,0.059745777,0.058948377,0.058948377,0.058948377,0.058948377,0.058948377
0.047601792,,0.055328354,0.055984055,0.055984055,0.055984055,0.056335619,0.056335619,0.056335619,0.056335619,0.056335619
0.051373402,,0.073998502,0.065950266,0.065950266,0.065950266,0.064674125,0.064674125,0.064674125,0.064674125,0.064674125
0.076185176,,0.055328354,0.057185761,0.057185761,0.057185761,0.057516148,0.057516148,0.057516148,0.057516148,0.057516148
0.022246375,,0.069719926,0.06248723,0.06248723,0.06248723,0.060492447,0.060492447,0.060492447,0.060492447,0.060492447
0.042481203,,0.061940698,0.057794852,0.057794852,0.057794852,0.058258018,0.058258018,0.058258018,0.058258018,0.058258018
0.028188421,,0.078666039,0.069621542,0.069621542,0.069621542,0.067506951,0.067506951,0.067506951,0.067506951,0.067506951
0.069690605,,0.055328354,0.057185761,0.057185761,0.057185761,0.057516148,0.057516148,0.057516148,0.057516148,0.057516148
0.05689203,,0.07360954,0.065642372,0.065642372,0.065642372,0.066138259,0.066138259,0.066138259,0.066138259,0.066138259
0.056256721,,0.068553042,0.061628031,0.061628031,0.061628031,0.060051057,0.060051057,0.060051057,0.060051057,0.060051057
0.034827753,,0.071275772,0.063935698,0.063935698,0.063935698,0.062422873,0.062422873,0.062422873,0.062422873,0.062422873
0.03805959,,0.064274466,0.0574088,0.0574088,0.0574088,0.057064601,0.057064601,0.057064601,0.057064601,0.057064601
0.053985517,,0.056495238,0.057810481,0.057810481,0.057810481,0.058151166,0.058151166,0.058151166,0.058151166,0.058151166
0.052372587,,0.058440045,0.059437879,0.059437879,0.059437879,0.059789524,0.059789524,0.059789524,0.059789524,0.059789524
0.042758753,,0.064274466,0.057426386,0.057426386,0.057426386,0.057087513,0.057087513,0.057087513,0.057087513,0.057087513
0.058178973,,0.088001113,0.079481812,0.079481812,0.079481812,0.080021121,0.080021121,0.080021121,0.080021121,0.080021121
0.096137258,,0.059217968,0.076062727,0.076062727,0.076062727,0.076137262,0.076137262,0.076137262,0.076137262,0.076137262
0.041839646,,0.058440045,0.059437879,0.059437879,0.059437879,0.059789524,0.059789524,0.059789524,0.059789524,0.059789524
0.082229337,,0.055328354,0.064747712,0.064747712,0.064747712,0.064952713,0.064952713,0.064952713,0.064952713,0.064952713
0.05854405,,0.066997196,0.060208873,0.060208873,0.060208873,0.060734537,0.060734537,0.060734537,0.060734537,0.060734537
0.029731188,,0.121451795,0.109234579,0.109234579,0.109234579,0.109972946,0.109972946,0.109972946,0.109972946,0.109972946
0.075088684,,0.055328354,0.057185761,0.057185761,0.057185761,0.057516148,0.057516148,0.057516148,0.057516148,0.057516148
0.064930239,,0.055328354,0.064777022,0.064777022,0.064777022,0.064981506,0.064981506,0.064981506,0.064981506,0.064981506
0.09554185,,0.122618679,0.170882488,0.170882488,0.170882488,0.170578317,0.170578317,0.170578317,0.170578317,0.170578317
0.060661556,,0.055328354,0.055984055,0.055984055,0.055984055,0.056335619,0.056335619,0.056335619,0.056335619,0.056335619
0.095332758,,0.066997196,0.060208873,0.060208873,0.060208873,0.060734537,0.060734537,0.060734537,0.060734537,0.060734537
0.026446186,,0.055328354,0.049620879,0.049620879,0.049620879,0.049052865,0.049052865,0.049052865,0.049052865,0.049052865
0.061781111,,0.059217968,0.076062727,0.076062727,0.076062727,0.076137262,0.076137262,0.076137262,0.076137262,0.076137262
0.056126819,,0.088001113,0.079481812,0.079481812,0.079481812,0.080025002,0.080025002,0.080025002,0.080025002,0.080025002
0.036875909,,0.062329659,0.055837091,0.055837091,0.055837091,0.055492204,0.055492204,0.055492204,0.055492204,0.055492204
