,,y using no of feature according to heatmap,,,,,,,,
actual y,,1,2,3,4,5,6,7,8,y predicted using all feature
0.034827753,,0.071647663,0.062168821,0.061120229,0.057938921,0.051793404,0.051793404,0.051793404,0.051793369,0.051793369
0.03805959,,0.062922569,0.054049129,0.053080327,0.049252222,0.051521597,0.051521597,0.051521596,0.051521605,0.051521605
0.053985517,,0.053228021,0.05491287,0.054622803,0.056714654,0.057133645,0.057133645,0.057133645,0.057133538,0.057133538
0.052372587,,0.055651658,0.056928582,0.056596489,0.058692723,0.059212635,0.059212635,0.059212635,0.059212564,0.059212564
0.042758753,,0.062922569,0.054071843,0.053113129,0.049623778,0.051582273,0.051582273,0.051582273,0.05158228,0.05158228
0.058178973,,0.092490943,0.081506553,0.080944725,0.083423011,0.084982112,0.084982112,0.084982111,0.084982534,0.084982534
0.096137258,,0.056621113,0.078366713,0.08047272,0.080425994,0.079354981,0.079354981,0.079354981,0.079354535,0.079354535
0.041839646,,0.055651658,0.056928582,0.056315962,0.058478751,0.059149488,0.059149488,0.059149488,0.059149459,0.059149459
0.082229337,,0.051773839,0.063924726,0.065737381,0.066322821,0.065716246,0.065716246,0.065716247,0.065715795,0.065715795
0.05854405,,0.066315661,0.057544973,0.059267868,0.060829762,0.061449513,0.061449513,0.061449513,0.061449276,0.061449276
0.029731188,,0.134177501,0.11845197,0.11795152,0.120685062,0.123264331,0.123264331,0.123264329,0.123265269,0.123265269
0.075088684,,0.051773839,0.054157723,0.053542931,0.054679525,0.05623709,0.05623709,0.05623709,0.056237014,0.056237014
0.064930239,,0.051773839,0.063962582,0.063967355,0.065032928,0.065343709,0.065343709,0.06534371,0.065343531,0.065343531
0.09554185,,0.135631684,0.19802456,0.197730151,0.196214128,0.195944632,0.195944632,0.195944633,0.195945485,0.195945485
0.060661556,,0.051773839,0.052605602,0.05180922,0.053685148,0.054785051,0.054785051,0.054785051,0.054785003,0.054785003
0.095332758,,0.066315661,0.057544973,0.058572393,0.060428627,0.061292961,0.061292961,0.061292961,0.061292829,0.061292829
0.026446186,,0.051773839,0.044386934,0.043536517,0.037035088,0.040389753,0.040389753,0.040389753,0.04038958,0.04038958
0.061781111,,0.056621113,0.078366713,0.080870134,0.080653477,0.079444439,0.079444439,0.079444439,0.079443933,0.079443933
0.056126819,,0.092490943,0.081506553,0.080944725,0.083515226,0.085008106,0.085008106,0.085008106,0.085008529,0.085008529
0.036875909,,0.060498932,0.052105345,0.051162405,0.047738909,0.049579749,0.049579749,0.049579749,0.049579724,0.049579724
0.03772365,,0.065830934,0.056630766,0.055658342,0.052612415,0.053835382,0.053835382,0.053835381,0.05383542,0.05383542
0.065713063,,0.051773839,0.052605602,0.051692333,0.053707561,0.054758739,0.054758739,0.05475874,0.054758709,0.054758709
0.038517547,,0.057590568,0.050992545,0.053748528,0.054725988,0.054754688,0.054754688,0.054754688,0.054754184,0.054754184
0.049964807,,0.051773839,0.052605602,0.05176831,0.053584045,0.054775842,0.054775842,0.054775842,0.0547758,0.0547758
0.068768818,,0.051773839,0.054157723,0.053507865,0.055002297,0.056229197,0.056229197,0.056229197,0.056229125,0.056229125
0.044785499,,0.065830934,0.056608052,0.055626884,0.052586357,0.05117171,0.05117171,0.05117171,0.051171696,0.051171696
0.056081269,,0.092490943,0.081506553,0.080973947,0.083624538,0.085080785,0.085080785,0.085080784,0.085081205,0.085081205
0.054884226,,0.092490943,0.081506553,0.080956414,0.083527383,0.085010738,0.085010738,0.085010737,0.085011159,0.085011159
0.065233562,,0.051773839,0.061577616,0.06100031,0.062109669,0.062991578,0.062991578,0.062991578,0.062991489,0.062991489
0.056180021,,0.072617118,0.062880464,0.061850417,0.058608403,0.052642472,0.052642472,0.052642472,0.052642449,0.052642449
0.05799646,,0.092490943,0.081506553,0.080927192,0.083394027,0.08497408,0.08497408,0.08497408,0.084974505,0.084974505
0.052703327,,0.092490943,0.081506553,0.080897971,0.083486966,0.084994611,0.084994611,0.08499461,0.084995041,0.084995041
0.053974836,,0.055651658,0.056928582,0.056590645,0.058698242,0.059211319,0.059211319,0.059211319,0.059211249,0.059211249
0.080275014,,0.051773839,0.050902055,0.050878805,0.052092457,0.053410245,0.053410245,0.053410245,0.053410082,0.053410082
0.096120069,,0.135631684,0.19802456,0.196888568,0.195752401,0.195755191,0.195755191,0.195755192,0.195756171,0.195756171
0.041645313,,0.063407297,0.0544712,0.05350539,0.050452863,0.051994923,0.051994923,0.051994923,0.051994938,0.051994938
0.042669009,,0.060014205,0.054651232,0.063608427,0.061269625,0.0597687,0.0597687,0.0597687,0.05976729,0.05976729
0.065953312,,0.051773839,0.061577616,0.061035376,0.062003291,0.062999471,0.062999471,0.062999472,0.062999377,0.062999377
0.025875102,,0.063892024,0.054741844,0.053752954,0.050461695,0.053682863,0.053682863,0.053682863,0.053682916,0.053682916
0.063184884,,0.071647663,0.062187749,0.061179075,0.055382165,0.051441686,0.051441686,0.051441686,0.051441638,0.051441638
0.037320348,,0.057590568,0.050992545,0.056495361,0.056184023,0.055373002,0.055373002,0.055373002,0.055372084,0.055372084
0.056523079,,0.073101845,0.062889897,0.061793313,0.059691319,0.050870827,0.050870827,0.050870827,0.050870783,0.050870783
0.06897037,,0.051773839,0.058473375,0.057790038,0.059079812,0.060145383,0.060145383,0.060145384,0.060145313,0.060145313
0.060571674,,0.065830934,0.056483126,0.055511724,0.054369329,0.048117366,0.048117366,0.048117366,0.04811729,0.04811729
0.072102106,,0.051773839,0.063962582,0.067678503,0.067267876,0.066179091,0.066179091,0.066179092,0.066178353,0.066178353
0.035850141,,0.06098366,0.052455489,0.051513878,0.049818705,0.049911921,0.049911921,0.049911921,0.049911902,0.049911902
0.144254706,,0.051773839,0.052605602,0.052831977,0.053563638,0.055015274,0.055015274,0.055015274,0.055015072,0.055015072
0.076232587,,0.051773839,0.054157723,0.053583842,0.054791659,0.056246299,0.056246299,0.056246299,0.056246216,0.056246216
0.047173434,,0.051773839,0.058473375,0.057532887,0.058894115,0.060087499,0.060087499,0.060087499,0.060087467,0.060087467
0.058185142,,0.056621113,0.078366713,0.078660979,0.079380415,0.078947156,0.078947156,0.078947157,0.078946984,0.078946984
0.080208123,,0.051773839,0.058473375,0.058245895,0.058994975,0.060247997,0.060247997,0.060247998,0.060247858,0.060247858
0.041274032,,0.075040755,0.064782605,0.063663891,0.061420981,0.055356228,0.055356228,0.055356228,0.055356263,0.055356263
0.050262545,,0.067769844,0.058811184,0.057835613,0.053078541,0.048059192,0.048059192,0.048059192,0.048059092,0.048059092
0.082970885,,0.054682203,0.047812773,0.047891221,0.050127637,0.05095402,0.05095402,0.05095402,0.050953884,0.050953884
0.060303393,,0.051773839,0.04814988,0.047318348,0.049564507,0.050726067,0.050726067,0.050726067,0.050726028,0.050726028
0.037114341,,0.055651658,0.056928582,0.05646207,0.058349539,0.059182377,0.059182377,0.059182377,0.059182326,0.059182326
0.08981698,,0.051773839,0.058473375,0.058129009,0.059117523,0.060221686,0.060221686,0.060221686,0.060221564,0.060221564
0.060891839,,0.056621113,0.078366713,0.078503182,0.079359714,0.078911636,0.078911636,0.078911637,0.078911487,0.078911487
0.06554233,,0.064376752,0.055459196,0.054487851,0.047389793,0.038660469,0.038660469,0.038660469,0.038660204,0.038660204
0.038971616,,0.061468387,0.052877559,0.051928421,0.048513731,0.050345126,0.050345126,0.050345126,0.050345114,0.050345114
0.080748112,,0.079403302,0.151260056,0.151007872,0.14924556,0.14750211,0.14750211,0.147502112,0.147502253,0.147502253
0.355423367,,0.127876045,0.202174132,0.201226838,0.198705481,0.198171544,0.198171544,0.198171546,0.198172377,0.198172377
0.045831544,,0.058075295,0.052455672,0.055910926,0.056498421,0.056317644,0.056317644,0.056317644,0.05631704,0.05631704
0.065905765,,0.051773839,0.063962582,0.063908912,0.064994774,0.065330554,0.065330554,0.065330554,0.065330384,0.065330384
0.088897281,,0.051773839,0.063962582,0.075054043,0.071049862,0.06783933,0.06783933,0.06783933,0.06783748,0.06783748
0.099418357,,0.051773839,0.048168808,0.047347972,0.049059271,0.050745684,0.050745684,0.050745684,0.050745644,0.050745644
0.081531757,,0.051773839,0.054157723,0.053355913,0.054698301,0.056194992,0.056194992,0.056194993,0.056194944,0.056194944
0.056654814,,0.092490943,0.081506553,0.080944725,0.083473927,0.084994985,0.084994985,0.084994985,0.084995408,0.084995408
0.10583122,,0.051773839,0.054157723,0.053893591,0.054944655,0.056316024,0.056316024,0.056316024,0.056315894,0.056315894
0.152792553,,0.051773839,0.054157723,0.054466335,0.055329312,0.056444949,0.056444949,0.056444949,0.056444733,0.056444733
0.06631715,,0.056621113,0.078366713,0.081466256,0.080816352,0.079578626,0.079578626,0.079578627,0.07957803,0.07957803
0.043265181,,0.057590568,0.050992545,0.052696549,0.054150386,0.05453138,0.05453138,0.054531379,0.054531034,0.054531034
0.049718954,,0.073101845,0.063151108,0.062093305,0.061339169,0.049809145,0.049809145,0.049809145,0.049809068,0.049809068
0.067138914,,0.051773839,0.048168808,0.047476548,0.049181397,0.050774626,0.050774626,0.050774626,0.050774567,0.050774567
0.03612119,,0.074556028,0.064269679,0.064829007,0.066971018,0.067710451,0.067710451,0.067710451,0.067710483,0.067710483
0.059575056,,0.051773839,0.054157723,0.053963723,0.05555448,0.056331811,0.056331811,0.056331811,0.056331671,0.056331671
0.099214947,,0.066315661,0.057544973,0.05894643,0.060626987,0.061377157,0.061377157,0.061377157,0.061376968,0.061376968
0.334363207,,0.161806965,0.234179751,0.232749467,0.230345809,0.230771695,0.230771695,0.230771696,0.230773022,0.230773022
0.097464682,,0.135631684,0.19802456,0.196707394,0.195625921,0.195714409,0.195714409,0.19571441,0.195715416,0.195715416
0.042326693,,0.051773839,0.052605602,0.051779998,0.053735939,0.054778473,0.054778473,0.054778473,0.054778429,0.054778429
0.051062065,,0.051773839,0.058473375,0.057503666,0.058996671,0.060080921,0.060080921,0.060080921,0.060080894,0.060080894
0.054924665,,0.051773839,0.058473375,0.057398468,0.058868874,0.060057241,0.060057241,0.060057241,0.060057229,0.060057229
0.048937784,,0.0740713,0.063559898,0.062484509,0.058779182,0.049774256,0.049774256,0.049774256,0.049774184,0.049774184
0.033661149,,0.074556028,0.064269679,0.064799785,0.066921391,0.067703873,0.067703873,0.067703873,0.067703909,0.067703909
0.053929982,,0.051773839,0.058473375,0.0574686,0.058782277,0.060073027,0.060073027,0.060073028,0.060073005,0.060073005
0.090051997,,0.099761854,0.094333804,0.094016171,0.095935234,0.097930869,0.097930869,0.097930868,0.097931348,0.097931348
0.064738838,,0.051773839,0.063962582,0.065329083,0.065908054,0.065650235,0.065650235,0.065650236,0.065649852,0.065649852
0.081291231,,0.051773839,0.063924726,0.063913951,0.065361826,0.065305791,0.065305791,0.065305792,0.065305615,0.065305615
0.047479471,,0.134177501,0.11845197,0.117986586,0.120515038,0.123272224,0.123272224,0.123272223,0.123273157,0.123273157
0.034221575,,0.078433847,0.067138965,0.066023357,0.064565934,0.060121909,0.060121909,0.060121909,0.060122033,0.060122033
0.03370432,,0.054682203,0.047812773,0.051222487,0.051955047,0.05170389,0.05170389,0.05170389,0.051703252,0.051703252
0.055146228,,0.092490943,0.081506553,0.080909659,0.083456126,0.084987092,0.084987092,0.084987091,0.08498752,0.08498752
0.048706793,,0.077464392,0.066968671,0.065855103,0.062861557,0.056878317,0.056878317,0.056878317,0.056878367,0.056878367
0.101072123,,0.051773839,0.048168808,0.0476285,0.049093904,0.050808831,0.050808831,0.050808831,0.050808748,0.050808748
0.026564166,,0.051773839,0.044352863,0.043504233,0.037012053,0.040376879,0.040376879,0.040376879,0.040376706,0.040376706
