,,predicted y using no of features in heatmap,,,,,,,,
actual y test,no of variable,1,2,3,4,5,6,7,8,predicted y using all features
0.093054132,,0.103061436,0.099829171,0.099585412,0.1017454,0.101607158,0.099181946,0.097387958,0.097770514,0.097770514
0.034526098,,0.055063497,0.046937952,0.060287235,0.062421255,0.06578087,0.061726084,0.060678409,0.049378631,0.049378631
0.085746873,,0.048039409,0.050998474,0.049016816,0.050515166,0.051525545,0.053980988,0.053574786,0.051397757,0.051397757
0.055545219,,0.048039409,0.056321533,0.052561092,0.054448598,0.054944457,0.056485489,0.056020826,0.05680054,0.05680054
0.032197722,,0.064428949,0.054022217,0.051537607,0.037311688,0.036451727,0.036940271,0.037504177,0.032210024,0.032210024
0.075921121,,0.052136794,0.145813796,0.140802915,0.138903848,0.141222038,0.138703087,0.138218878,0.12747403,0.12747403
0.113693676,,0.097208029,0.083635911,0.083390948,0.086634429,0.085745854,0.087995564,0.088283845,0.098156507,0.098156507
0.061191557,,0.048039409,0.043611563,0.040763678,0.043226541,0.043564139,0.041529404,0.040734535,0.050340066,0.050340066
0.052980356,,0.048039409,0.049084041,0.046921682,0.04970808,0.050017011,0.047611524,0.046771468,0.050159957,0.050159957
0.02616286,,0.06559963,0.054047422,0.05179597,0.045381585,0.0444832,0.048350855,0.048792566,0.042666474,0.042666474
0.047601792,,0.048039409,0.049084041,0.047059992,0.050038233,0.050273623,0.047707996,0.046846344,0.051302177,0.051302177
0.051373402,,0.076135763,0.063314131,0.060994968,0.05654554,0.052252103,0.051823808,0.052089248,0.055352876,0.055352876
0.076185176,,0.048039409,0.050998474,0.049277163,0.051220855,0.052049387,0.055255325,0.054889225,0.05345445,0.05345445
0.022246375,,0.069697015,0.058174628,0.055790209,0.053083452,0.045108482,0.044611588,0.044793282,0.042916033,0.042916033
0.042481203,,0.057990201,0.051385485,0.073189696,0.074042215,0.079555144,0.08186098,0.081304565,0.050622036,0.050622036
0.028188421,,0.083159852,0.068751067,0.066456066,0.058217349,0.052085828,0.056222814,0.057214942,0.056376938,0.056376938
0.069690605,,0.048039409,0.050998474,0.048268316,0.050264221,0.050880925,0.049535364,0.048817984,0.050052613,0.050052613
0.05689203,,0.075550422,0.06285794,0.06547359,0.068896124,0.068910949,0.070455916,0.070289105,0.078526419,0.078526419
0.056256721,,0.067940993,0.056908781,0.054681519,0.045679661,0.042806012,0.046241134,0.046881063,0.039885991,0.039885991
0.034827753,,0.072038378,0.060344924,0.058059894,0.052665209,0.048042647,0.050125835,0.050587218,0.044055149,0.044055149
0.03805959,,0.061502245,0.050564586,0.048271078,0.041984497,0.043060912,0.044442617,0.044555707,0.044784189,0.044784189
0.053985517,,0.049795431,0.051890773,0.050612438,0.053718048,0.053980279,0.049818529,0.048845249,0.056146503,0.056146503
0.052372587,,0.052722135,0.054311808,0.052995526,0.056073051,0.056281348,0.052210642,0.051293593,0.057826706,0.057826706
0.042758753,,0.061502245,0.050592602,0.048325761,0.04255365,0.043393476,0.048263723,0.048634983,0.048964862,0.048964862
0.058178973,,0.097208029,0.083635911,0.083260775,0.086494549,0.085584946,0.08637702,0.086551282,0.092421063,0.092421063
0.096137258,,0.053892816,0.08072818,0.084941216,0.086168919,0.088377606,0.084825011,0.083987022,0.088516868,0.088516868
0.041839646,,0.052722135,0.054311808,0.052214483,0.05526398,0.055343567,0.051266937,0.050360769,0.055408999,0.055408999
0.082229337,,0.048039409,0.063045397,0.06693471,0.068875991,0.070794622,0.066834012,0.090449552,0.095506358,0.095506358
0.05854405,,0.06559963,0.054785179,0.06005441,0.063092284,0.064289897,0.068285507,0.06812296,0.071253167,0.071253167
0.029731188,,0.14754733,0.128083992,0.129097247,0.132506103,0.130884621,0.129712292,0.128672491,0.133993686,0.133993686
0.075088684,,0.048039409,0.050998474,0.048740196,0.050275683,0.051216217,0.053669728,0.053265674,0.050971641,0.050971641
0.064930239,,0.048039409,0.063092091,0.061945544,0.063783712,0.064832571,0.060834865,0.058055296,0.053587167,0.053587167
0.09554185,,0.149303352,0.226192157,0.2229252,0.221037511,0.22162915,0.222158595,0.223469104,0.217143942,0.217143942
