Gradation,d,Sf,DEPTH,width,n,SPEC.,uavg,g,lambda
1,0.00262,0.00105,0.3923,0.78,8.13E-07,2.65,0.653584711,9.81,0.075650584
1,0.00262,0.0009,0.2725,0.78,1.25E-06,2.65,0.588073394,9.81,0.055635808
1.3,0.00032,0.0025,0.0985,0.2,1.33E-06,2.65,0.406091371,9.81,0.117148617
1,0.00221,0.00115,0.3164,0.78,7.56E-07,2.65,0.60777902,9.81,0.077277196
1,0.00221,0.00132,0.1811,0.78,8.58E-07,2.65,0.495525917,9.81,0.076377965
1,0.00221,0.00077,0.2761,0.78,7.33E-07,2.65,0.58040565,9.81,0.049511071
1,0.00262,0.00098,0.228,0.78,1.25E-06,2.65,0.562275079,9.81,0.055446189
1.84,0.000899,0.00179,0.2893,4.334,0.000001,2.65,0.606659041,9.81,0.110387669
1,0.00262,0.00121,0.3844,0.78,8.13E-07,2.65,0.667016863,9.81,0.082016942
1,0.00376,0.00095,0.3776,0.78,1.12E-06,2.65,0.679028819,9.81,0.061036219
1,0.00262,0.00112,0.3807,0.78,9.35E-07,2.65,0.673499559,9.81,0.073745363
1,0.00262,0.00106,0.3481,0.78,8.25E-07,2.65,0.644498707,9.81,0.069690605
1,0.00221,0.00108,0.2124,0.78,1.01E-06,2.65,0.543223961,9.81,0.060985822
1.38,0.001,0.001043,0.1521,1.999,5.94E-07,2.68,0.46043403,9.81,0.058706629
1,0.00221,0.001135,0.3112,0.78,7.56E-07,2.65,0.617934711,9.81,0.072570266
1,0.00376,0.00108,0.3767,0.78,1.00E-06,2.65,0.680651134,9.81,0.068893568
1.84,0.000899,0.00179,0.3007,4.334,0.000001,2.65,0.624775846,9.81,0.108179867
1,0.00376,0.0012,0.3054,0.78,1.00E-06,2.65,0.62967021,9.81,0.072515765
1.84,0.000899,0.00177,0.3082,4.334,0.000001,2.65,0.633958525,9.81,0.106486035
1,0.00262,0.00178,0.378,0.78,8.13E-07,2.65,0.67831027,9.81,0.114726426
1,0.00221,0.00083,0.2701,0.78,7.33E-07,2.65,0.593298778,9.81,0.049964807
1,0.00262,0.00162,0.4072,0.78,9.18E-07,2.65,0.70838056,9.81,0.103133074
1,0.00221,0.000885,0.2295,0.78,7.46E-07,2.65,0.558600078,9.81,0.051066069
1.84,0.000899,0.00179,0.3194,4.334,0.000001,2.65,0.649268399,9.81,0.106401527
1,0.00262,0.0013,0.3679,0.78,1.19E-06,2.65,0.696931998,9.81,0.077250408
1.84,0.000899,0.00184,0.351,4.334,1.13E-06,2.65,0.682716137,9.81,0.108705884
1.84,0.000899,0.00179,0.3269,4.334,0.000001,2.65,0.658337195,9.81,0.1059204
1,0.00262,0.00156,0.3749,0.78,8.13E-07,2.65,0.683919131,9.81,0.098093218
1,0.00262,0.00121,0.2219,0.78,1.25E-06,2.65,0.577731942,9.81,0.063110026
1,0.00221,0.001115,0.3746,0.78,7.56E-07,2.65,0.68446685,9.81,0.069943321
1,0.0052,0.00175,0.0769,0.354,5.94E-07,2.25,0.367341841,9.81,0.078240576
1,0.00221,0.00074,0.2274,0.78,7.21E-07,2.65,0.563758654,9.81,0.041537866
1,0.00262,0.00096,0.3978,0.78,1.14E-06,2.65,0.725119568,9.81,0.056980363
1,0.00376,0.00095,0.3335,0.78,1.04E-06,2.65,0.672713643,9.81,0.054924665
1,0.00376,0.00107,0.3658,0.78,1.12E-06,2.65,0.700932974,9.81,0.062500421
1,0.00221,0.00092,0.2268,0.78,7.46E-07,2.65,0.565250079,9.81,0.051233976
1.06,0.000305,0.0018,0.0893,0.597,5.94E-07,2.65,0.389855211,9.81,0.082970885
1,0.00262,0.00103,0.2944,0.78,1.29E-06,2.65,0.65319729,9.81,0.055756401
1,0.00221,0.00112,0.1899,0.78,9.52E-07,2.65,0.540081824,9.81,0.057204779
1.3,0.00032,0.00225,0.086,0.2,1.30E-06,2.65,0.412790698,9.81,0.089090134
1,0.00376,0.0009,0.3993,0.78,9.90E-07,2.65,0.722395603,9.81,0.05402566
1,0.0052,0.00217,0.046,0.354,5.94E-07,2.25,0.307049865,9.81,0.083063111
1,0.00376,0.00098,0.3313,0.78,1.05E-06,2.65,0.677180803,9.81,0.055545219
1,0.00262,0.00151,0.4846,0.78,1.19E-06,2.65,0.793644243,9.81,0.091141687
1,0.00262,0.00084,0.4301,0.78,9.43E-07,2.65,0.745178521,9.81,0.051043039
1,0.00262,0.00136,0.3661,0.78,9.35E-07,2.65,0.700358596,9.81,0.079635399
1,0.00221,0.00197,0.4663,0.78,7.17E-07,2.65,0.75606383,9.81,0.126073313
1,0.00262,0.00127,0.5127,0.78,1.13E-06,2.65,0.812660975,9.81,0.077349351
1,0.00221,0.00103,0.221,0.78,9.71E-07,2.65,0.580084697,9.81,0.053070738
1,0.00376,0.00121,0.3292,0.78,1.05E-06,2.65,0.681500608,9.81,0.067285448
1,0.00262,0.00099,0.4234,0.78,1.14E-06,2.65,0.756970435,9.81,0.057390058
1,0.00221,0.001,0.2201,0.78,9.71E-07,2.65,0.582456692,9.81,0.050898058
1.3,0.00032,0.00263,0.085,0.2,1.28E-06,2.65,0.417647059,9.81,0.100545877
1,0.00262,0.00129,0.3246,0.78,1.25E-06,2.65,0.691158349,9.81,0.068768818
1,0.00221,0.001145,0.367,0.78,7.56E-07,2.65,0.698641096,9.81,0.067541662
1.08,0.0025,0.00117,0.0826,0.914,5.94E-07,2.65,0.388190695,9.81,0.050313452
1,0.00262,0.00135,0.5063,0.78,1.19E-06,2.65,0.822933601,9.81,0.079180922
1,0.00221,0.00109,0.2612,0.78,7.25E-07,2.65,0.613514548,9.81,0.059341482
1,0.0052,0.00572,0.0237,0.354,5.94E-07,2.25,0.247920093,9.81,0.173033172
1,0.00262,0.00146,0.2149,0.78,1.25E-06,2.65,0.596550572,9.81,0.069167676
1,0.00262,0.00148,0.3292,0.78,8.25E-07,2.65,0.681500608,9.81,0.082299557
1,0.00221,0.000935,0.221,0.78,7.46E-07,2.65,0.580084697,9.81,0.048175864
1,0.00221,0.0016,0.3648,0.78,7.21E-07,2.65,0.702854392,9.81,0.092694195
1,0.00262,0.00152,0.4471,0.78,1.13E-06,2.65,0.788531792,9.81,0.085746873
1.84,0.000899,0.00188,0.4327,4.334,1.13E-06,2.65,0.780233025,9.81,0.104834574
1.3,0.00032,0.00225,0.1,0.2,1.22E-06,2.65,0.45,9.81,0.087169778
1.84,0.000899,0.00192,0.4362,4.334,1.13E-06,2.65,0.783410319,9.81,0.107057418
1.84,0.000899,0.00183,0.438,4.334,1.13E-06,2.65,0.78642959,9.81,0.101674947
1,0.00262,0.00135,0.445,0.78,1.13E-06,2.65,0.792252953,9.81,0.075088684
1.84,0.000899,0.00185,0.4147,4.334,1.13E-06,2.65,0.771218184,9.81,0.101195148
1,0.00221,0.00086,0.2198,0.78,7.21E-07,2.65,0.583251674,9.81,0.043593586
1.84,0.000899,0.00187,0.4057,4.334,1.13E-06,2.65,0.765101571,9.81,0.101675631
1,0.00262,0.00245,0.4721,0.78,1.19E-06,2.65,0.814657911,9.81,0.136728161
1,0.00262,0.00206,0.4718,0.78,1.19E-06,2.65,0.815175922,9.81,0.114744247
1,0.00376,0.00118,0.3533,0.78,1.12E-06,2.65,0.725732471,9.81,0.062098482
1,0.00262,0.00182,0.4435,0.78,1.13E-06,2.65,0.794932501,9.81,0.100210436
1,0.00221,0.00121,0.1777,0.78,7.42E-07,2.65,0.541087687,9.81,0.057616377
1,0.00221,0.001335,0.1326,0.78,7.29E-07,2.65,0.483408748,9.81,0.059429794
1,0.00221,0.00205,0.4243,0.78,6.97E-07,2.65,0.755364794,9.81,0.119597434
1,0.00221,0.00132,0.3264,0.78,7.81E-07,2.65,0.687346814,9.81,0.07154523
1,0.00262,0.00138,0.3179,0.78,1.25E-06,2.65,0.705725071,9.81,0.069104602
1,0.00262,0.00107,0.3828,0.78,1.14E-06,2.65,0.753533344,9.81,0.056592542
1,0.00221,0.001215,0.1774,0.78,7.42E-07,2.65,0.542002717,9.81,0.057561939
1.38,0.001,0.001074,0.1119,1.999,5.94E-07,2.68,0.446979522,9.81,0.047191911
1,0.00376,0.00138,0.2877,0.78,1.00E-06,2.65,0.668409044,9.81,0.069717653
1,0.00262,0.00142,0.4127,0.78,1.14E-06,2.65,0.776596273,9.81,0.076232587
1,0.00221,0.00085,0.2185,0.78,7.21E-07,2.65,0.586721821,9.81,0.042326693
1.84,0.000899,0.00152,0.0693,3.551,1.13E-06,2.65,0.396152863,9.81,0.052657432
1,0.00376,0.00103,0.3203,0.78,1.04E-06,2.65,0.70043709,9.81,0.052755087
1,0.00262,0.0012,0.2832,0.78,1.29E-06,2.65,0.679029951,9.81,0.057823594
1.84,0.000899,0.00161,0.0676,3.505,1.04E-06,2.65,0.390194903,9.81,0.056081269
1.84,0.000899,0.00151,0.061,3.292,0.000001,2.65,0.374629006,9.81,0.05148876
1.84,0.000899,0.00179,0.3287,4.334,1.13E-06,2.65,0.713329446,9.81,0.090715371
1,0.00221,0.00102,0.2557,0.78,7.25E-07,2.65,0.626710989,9.81,0.052096042
1,0.00262,0.00188,0.467,0.78,1.19E-06,2.65,0.823554604,9.81,0.101554315
1,0.00262,0.00256,0.4398,0.78,1.13E-06,2.65,0.8016202,9.81,0.137456833
1,0.00376,0.00137,0.4414,0.78,1.05E-06,2.65,0.798714463,9.81,0.074366655
1,0.00262,0.00195,0.4142,0.78,9.43E-07,2.65,0.773783877,9.81,0.10583122
1.84,0.000899,0.00177,0.3269,4.334,0.000001,2.65,0.710150294,9.81,0.090011105
1,0.00262,0.00184,0.4093,0.78,1.14E-06,2.65,0.783047354,9.81,0.096358929
1.84,0.000899,0.00181,0.3287,4.334,0.000001,2.65,0.713329446,9.81,0.09172895
1.84,0.000899,0.0018,0.3287,4.334,0.000001,2.65,0.713329446,9.81,0.09122216
1,0.00376,0.00124,0.47,0.78,9.71E-07,2.65,0.818297872,9.81,0.068281829
1.84,0.000899,0.00179,0.3157,4.334,0.000001,2.65,0.704049965,9.81,0.089439446
1,0.00376,0.00133,0.3499,0.78,1.00E-06,2.65,0.732784459,9.81,0.067991016
1,0.00262,0.00243,0.3816,0.78,9.18E-07,2.65,0.755902946,9.81,0.127318353
1.84,0.000899,0.00175,0.295,4.334,0.000001,2.65,0.688884891,9.81,0.085344432
1,0.00221,0.00262,0.4743,0.78,7.29E-07,2.65,0.81087919,9.81,0.148269067
1,0.00262,0.00293,0.381,0.78,9.18E-07,2.65,0.757093344,9.81,0.152792553
1,0.00262,0.00194,0.3197,0.78,8.25E-07,2.65,0.701751642,9.81,0.098806596
1,0.00221,0.00143,0.2515,0.78,7.51E-07,2.65,0.637176938,9.81,0.069496411
1.84,0.000899,0.0018,0.3257,4.334,0.000001,2.65,0.719899874,9.81,0.088747171
1,0.00262,0.0014,0.2783,0.78,1.29E-06,2.65,0.690985563,9.81,0.064019421
1,0.00221,0.00213,0.4441,0.78,7.17E-07,2.65,0.79385851,9.81,0.117755884
1.84,0.000899,0.00139,0.092,3.947,1.13E-06,2.65,0.451118626,9.81,0.049298029
1.84,0.000899,0.00137,0.092,3.947,1.13E-06,2.65,0.451118626,9.81,0.048588705
1.84,0.000899,0.0016,0.2493,4.334,0.000001,2.65,0.652304533,9.81,0.073544452
1.84,0.000899,0.0014,0.088,3.923,1.13E-06,2.65,0.445070447,9.81,0.048793463
1.84,0.000899,0.00137,0.088,3.923,1.13E-06,2.65,0.445070447,9.81,0.047747889
1,0.00221,0.0013,0.3185,0.78,7.80E-07,2.65,0.704395604,9.81,0.065467833
1,0.00376,0.00152,0.4054,0.78,1.04E-06,2.65,0.79058037,9.81,0.077347045
1,0.00376,0.00107,0.3767,0.78,9.90E-07,2.65,0.765735503,9.81,0.053929982
1.84,0.000899,0.00159,0.1731,4.334,1.15E-06,2.65,0.576202515,9.81,0.065035778
1.84,0.000899,0.00161,0.1752,4.334,1.15E-06,2.65,0.57886774,9.81,0.066040406
1.84,0.000899,0.00139,0.0936,3.975,1.13E-06,2.65,0.457278396,9.81,0.048813251
1,0.00221,0.00121,0.1728,0.78,7.42E-07,2.65,0.55643103,9.81,0.052980356
1,0.00376,0.0014,0.4624,0.78,9.71E-07,2.65,0.831747405,9.81,0.073412734
1.84,0.000899,0.00163,0.1771,4.334,1.15E-06,2.65,0.582187721,9.81,0.06681724
1.84,0.000899,0.00161,0.1771,4.334,1.15E-06,2.65,0.582187721,9.81,0.065997396
1,0.00262,0.00154,0.206,0.78,1.25E-06,2.65,0.622323874,9.81,0.064263366
1,0.00221,0.00265,0.4682,0.78,7.29E-07,2.65,0.821443827,9.81,0.144254706
1.84,0.000899,0.00156,0.1499,4.313,1.15E-06,2.65,0.548553352,9.81,0.060967296
1.84,0.000899,0.00156,0.1499,4.313,1.15E-06,2.65,0.548553352,9.81,0.060967296
1.84,0.000899,0.00157,0.101,4.039,1.04E-06,2.65,0.469290752,9.81,0.056486606
1.84,0.000899,0.00156,0.101,4.039,1.04E-06,2.65,0.469290752,9.81,0.056126819
1.84,0.000899,0.00155,0.101,4.039,1.04E-06,2.65,0.469290752,9.81,0.055767032
1.84,0.000899,0.00152,0.101,4.039,1.04E-06,2.65,0.469290752,9.81,0.05468767
1.84,0.000899,0.00149,0.101,4.039,1.04E-06,2.65,0.469290752,9.81,0.053608308
1.84,0.000899,0.00158,0.1612,4.334,1.15E-06,2.65,0.563877747,9.81,0.062843543
1.84,0.000899,0.00158,0.1612,4.334,1.15E-06,2.65,0.563877747,9.81,0.062843543
1,0.00376,0.00132,0.4033,0.78,1.01E-06,2.65,0.794696955,9.81,0.066131367
1.84,0.000899,0.0016,0.097,4.02,1.15E-06,2.65,0.466484587,9.81,0.055953282
1.84,0.000899,0.00159,0.097,4.02,1.15E-06,2.65,0.466484587,9.81,0.055603574
1.84,0.000899,0.00159,0.097,4.02,1.15E-06,2.65,0.466484587,9.81,0.055603574
1.84,0.000899,0.00159,0.097,4.02,1.15E-06,2.65,0.466484587,9.81,0.055603574
1.84,0.000899,0.00151,0.0992,4.02,1.04E-06,2.65,0.466495647,9.81,0.054001009
2.84,0.000899,0.00148,0.0992,4.02,1.04E-06,2.65,0.466495647,9.81,0.052928142
1.84,0.000899,0.00158,0.075,3.764,1.04E-06,2.65,0.420719093,9.81,0.052522133
1.84,0.000699,0.00149,0.11,4.115,1.10E-06,2.65,0.487422954,9.81,0.054122201
1.84,0.000899,0.00148,0.1082,4.1,1.10E-06,2.65,0.484507011,9.81,0.053517682
1.84,0.000899,0.0015,0.1156,4.145,1.10E-06,2.65,0.496673359,9.81,0.055146228
1,0.00262,0.00166,0.3447,0.78,9.35E-07,2.65,0.743838938,9.81,0.081133461
1.84,0.000899,0.00149,0.1138,4.13,1.10E-06,2.65,0.493910561,9.81,0.05453061
1.84,0.000899,0.00157,0.1652,4.334,1.15E-06,2.65,0.569927685,9.81,0.062643878
1.84,0.000899,0.00149,0.1194,4.16,1.10E-06,2.65,0.502913204,9.81,0.055183973
1.84,0.000899,0.00148,0.1026,4.063,1.10E-06,2.65,0.475433463,9.81,0.052703327
1.84,0.000899,0.00151,0.1211,4.176,1.10E-06,2.65,0.505835714,9.81,0.056067419
1,0.00221,0.00128,0.1283,0.78,7.29E-07,2.65,0.499610288,9.81,0.05161576
1.84,0.000899,0.00148,0.1043,4.081,1.10E-06,2.65,0.478648687,9.81,0.052859217
1.84,0.000899,0.00159,0.1444,4.295,1.15E-06,2.65,0.542509005,9.81,0.061201049
1.3,0.00032,0.0036,0.053,0.2,1.22E-06,2.65,0.377358491,9.81,0.105118358
1.84,0.000899,0.00156,0.1156,4.145,1.15E-06,2.65,0.499720345,9.81,0.056654814
1.84,0.000899,0.00157,0.1354,4.255,1.15E-06,2.65,0.530438601,9.81,0.059272947
1.84,0.000899,0.00163,0.1479,4.313,1.15E-06,2.65,0.548496636,9.81,0.062866067
1.84,0.000899,0.00157,0.1392,4.267,1.15E-06,2.65,0.53627781,9.81,0.059616666
1,0.00376,0.00165,0.4292,0.78,1.05E-06,2.65,0.821417903,9.81,0.082342449
1.84,0.000899,0.00155,0.1392,4.267,1.13E-06,2.65,0.53627781,9.81,0.058857218
1.84,0.000899,0.00158,0.0988,4.039,1.15E-06,2.65,0.472375613,9.81,0.054884226
1.84,0.000899,0.00158,0.0988,4.039,1.15E-06,2.65,0.472375613,9.81,0.054884226
1.84,0.000899,0.00149,0.1336,4.249,1.10E-06,2.65,0.52708774,9.81,0.056212816
1.84,0.000899,0.0015,0.1354,4.255,1.10E-06,2.65,0.530438601,9.81,0.056630204
1,0.00376,0.00159,0.4282,0.78,1.05E-06,2.65,0.823336208,9.81,0.078794845
1.84,0.000899,0.00151,0.1244,4.206,1.10E-06,2.65,0.515224385,9.81,0.055515334
1,0.00376,0.0016,0.2771,0.78,1.00E-06,2.65,0.693977922,9.81,0.072222688
1,0.00221,0.0018,0.5148,0.78,8.08E-07,2.65,0.871605602,9.81,0.095692845
1,0.00221,0.00106,0.2466,0.78,7.25E-07,2.65,0.649837794,9.81,0.048562099
1,0.00376,0.00149,0.3075,0.78,1.05E-06,2.65,0.729593496,9.81,0.067527074
1,0.00262,0.00168,0.3362,0.78,1.19E-06,2.65,0.762645098,9.81,0.076185176
1,0.00262,0.00198,0.4779,0.78,1.13E-06,2.65,0.871837795,9.81,0.097665074
1,0.00376,0.00113,0.3072,0.78,1.04E-06,2.65,0.73030599,9.81,0.051062065
1,0.00262,0.00134,0.3661,0.78,1.14E-06,2.65,0.787906485,9.81,0.061995994
1,0.00262,0.00294,0.3984,0.78,9.43E-07,2.65,0.804471089,9.81,0.141988845
1.84,0.000899,0.00157,0.1336,4.249,8.83E-07,2.65,0.52708774,9.81,0.059230954
1.84,0.000899,0.00155,0.1391,4.27,8.83E-07,2.65,0.536308184,9.81,0.058808273
1.84,0.000899,0.00155,0.1407,4.282,8.83E-07,2.65,0.5396302,9.81,0.058754583
1.84,0.000899,0.00153,0.1407,4.282,8.83E-07,2.65,0.5396302,9.81,0.05799646
1.84,0.000899,0.00156,0.1336,4.249,8.83E-07,2.65,0.530135305,9.81,0.058178973
1.3,0.00032,0.0033,0.052,0.2,1.20E-06,2.65,0.384615385,9.81,0.091006503
1,0.00221,0.001235,0.3712,0.78,7.51E-07,2.65,0.777081261,9.81,0.059559426
1.84,0.000899,0.00155,0.1352,4.261,8.83E-07,2.65,0.533570265,9.81,0.057747555
1,0.00376,0.00195,0.3932,0.78,1.04E-06,2.65,0.815110076,9.81,0.090536572
1,0.00262,0.0023,0.4718,0.78,1.13E-06,2.65,0.883109966,9.81,0.109160282
1,0.00262,0.00268,0.3353,0.78,9.35E-07,2.65,0.764692162,9.81,0.120560077
1,0.00262,0.00155,0.235,0.78,1.25E-06,2.65,0.681914894,9.81,0.061453646
1,0.00376,0.00156,0.392,0.78,1.01E-06,2.65,0.817605311,9.81,0.071768142
1,0.00221,0.001295,0.1244,0.78,7.29E-07,2.65,0.515273312,9.81,0.047601792
1,0.00376,0.00172,0.4164,0.78,1.05E-06,2.65,0.846668021,9.81,0.078382895
1,0.00376,0.00211,0.3871,0.78,1.04E-06,2.65,0.827954746,9.81,0.093476163
1,0.00376,0.00152,0.4429,0.78,9.71E-07,2.65,0.868367577,9.81,0.070040706
1,0.00221,0.002085,0.3356,0.78,7.21E-07,2.65,0.764008588,9.81,0.094045924
1,0.00221,0.00222,0.4212,0.78,7.17E-07,2.65,0.837019383,9.81,0.104707733
1,0.00376,0.00162,0.3292,0.78,1.00E-06,2.65,0.778861732,9.81,0.06897037
1,0.00221,0.00303,0.473,0.78,7.60E-07,2.65,0.880869518,9.81,0.144906896
1.99,0.00269,0.002791,0.1128,0.5,5.94E-07,2.68,0.496542553,9.81,0.100176173
1,0.0052,0.00791,0.0133,0.354,5.94E-07,2.25,0.229387027,9.81,0.156855181
1,0.00221,0.001295,0.2374,0.78,7.51E-07,2.65,0.675021061,9.81,0.052932729
1,0.00262,0.00165,0.1963,0.78,1.25E-06,2.65,0.653075486,9.81,0.059578001
3.73,0.01,0.01,0.3946,4.46,6.99E-07,2.65,0.820559049,9.81,0.459775527
1.3,0.00032,0.0033,0.068,0.2,1.27E-06,2.65,0.441176471,9.81,0.090449593
1,0.00262,0.00154,0.2624,0.78,1.29E-06,2.65,0.732855496,9.81,0.05902776
1,0.00376,0.00128,0.463,0.78,1.03E-06,2.65,0.899894778,9.81,0.057413754
3.63,0.011,0.0104,0.3857,4.225,6.99E-07,2.65,0.816682801,9.81,0.471828975
1,0.00376,0.00162,0.4093,0.78,1.05E-06,2.65,0.861354909,9.81,0.070113386
1,0.00262,0.00146,0.2926,0.78,1.25E-06,2.65,0.766746411,9.81,0.057007517
1,0.00262,0.00165,0.2612,0.78,1.29E-06,2.65,0.736222366,9.81,0.062380313
1,0.00262,0.00205,0.2923,0.78,1.25E-06,2.65,0.767533356,9.81,0.079798845
1,0.00221,0.00274,0.4679,0.78,7.60E-07,2.65,0.890470789,9.81,0.12684481
1,0.00221,0.00139,0.4679,0.78,7.60E-07,2.65,0.890470789,9.81,0.064348279
1.84,0.000899,0.00136,0.1407,4.282,0.000001,2.65,0.573166728,9.81,0.045696139
1.3,0.00032,0.00356,0.05,0.2,1.25E-06,2.65,0.4,9.81,0.08727874
1,0.00458,0.00173,0.2899,0.78,1.27E-06,2.65,0.773887547,9.81,0.065697229
1,0.00458,0.00171,0.2899,0.78,1.27E-06,2.65,0.773887547,9.81,0.064937723
1,0.00376,0.00162,0.2923,0.78,1.04E-06,2.65,0.767533356,9.81,0.063060551
1,0.00458,0.00177,0.289,0.78,1.27E-06,2.65,0.776297578,9.81,0.066592159
1.3,0.00032,0.0035,0.0585,0.2,1.25E-06,2.65,0.427350427,9.81,0.087955717
1,0.00221,0.00167,0.4862,0.78,8.08E-07,2.65,0.92287652,9.81,0.074791575
1,0.00376,0.0022,0.3767,0.78,1.04E-06,2.65,0.850813066,9.81,0.08981698
1.1,0.00795,0.00274,0.1006,0.914,5.94E-07,2.65,0.492732881,9.81,0.089070503
1,0.00376,0.0017,0.4295,0.78,9.71E-07,2.65,0.895459837,9.81,0.07143784
3.41,0.0082,0.01,0.3704,5.914,7.19E-07,2.65,0.827293438,9.81,0.424580718
1,0.0052,0.0028,0.1169,0.354,5.94E-07,2.25,0.522200152,9.81,0.094168793
1,0.00376,0.00118,0.3487,0.78,9.90E-07,2.65,0.827222725,9.81,0.047173434
1.03,0.0025,0.00189,0.0607,0.914,5.94E-07,2.65,0.408310773,9.81,0.053985517
3.46,0.0095,0.0105,0.4035,4.434,6.99E-07,2.65,0.854645778,9.81,0.455060336
1.08,0.0025,0.00185,0.0671,0.914,5.94E-07,2.65,0.424771806,9.81,0.053974836
3.68,0.012,0.01,0.4185,4.825,6.99E-07,2.65,0.869422376,9.81,0.434352459
1,0.00376,0.00197,0.3194,0.78,1.00E-06,2.65,0.80275918,9.81,0.076601809
1.3,0.00032,0.00338,0.075,0.2,1.25E-06,2.65,0.473333333,9.81,0.088767141
1.3,0.00032,0.00363,0.075,0.2,1.20E-06,2.65,0.473333333,9.81,0.095332758
3.58,0.013,0.01,0.3874,5.745,7.19E-07,2.65,0.852426275,9.81,0.418267777
1,0.00458,0.00195,0.37,0.78,1.10E-06,2.65,0.866219681,9.81,0.075437744
1.99,0.00269,0.002736,0.1405,0.5,5.94E-07,2.68,0.569537367,9.81,0.092972909
1,0.00458,0.00176,0.3133,0.78,1.19E-06,2.65,0.818389027,9.81,0.064589499
1,0.00176,0.00207,0.3703,0.78,1.04E-06,2.65,0.86551791,9.81,0.080275014
1.99,0.00269,0.002747,0.1274,0.5,5.94E-07,2.68,0.549434851,9.81,0.090950299
1,0.00376,0.0015,0.2862,0.78,1.05E-06,2.65,0.783892383,9.81,0.054809577
1,0.00458,0.00195,0.3691,0.78,1.10E-06,2.65,0.86833184,9.81,0.07488859
1,0.00376,0.0016,0.4703,0.78,1.04E-06,2.65,0.954077321,9.81,0.064853925
1,0.00458,0.0018,0.3118,0.78,1.19E-06,2.65,0.822326113,9.81,0.065113179
1,0.00458,0.00178,0.3118,0.78,1.19E-06,2.65,0.822326113,9.81,0.0643897
1,0.00458,0.00183,0.253,0.78,1.20E-06,2.65,0.760084119,9.81,0.062871923
1.08,0.0025,0.00186,0.0701,0.914,5.94E-07,2.65,0.441944456,9.81,0.052372587
1.94,0.00333,0.002659,0.1472,0.5,5.94E-07,2.68,0.585557065,9.81,0.0895563
1.08,0.0025,0.00138,0.0954,0.914,5.94E-07,2.65,0.496848465,9.81,0.041839646
1,0.00376,0.00194,0.5155,0.78,1.04E-06,2.65,0.994767341,9.81,0.079285873
1.99,0.00269,0.002743,0.149,0.5,5.94E-07,2.68,0.589127517,9.81,0.092385095
1.94,0.00333,0.002668,0.1637,0.5,5.94E-07,2.68,0.610946854,9.81,0.091798606
1,0.00376,0.00159,0.3405,0.78,9.90E-07,2.65,0.847144094,9.81,0.059184518
1.99,0.00269,0.002721,0.1631,0.5,5.94E-07,2.68,0.613194359,9.81,0.092596517
1,0.00458,0.00188,0.2798,0.78,1.27E-06,2.65,0.801822731,9.81,0.064188508
1.1,0.00795,0.00226,0.0866,0.914,5.94E-07,2.65,0.482954402,9.81,0.065829798
1,0.00458,0.00191,0.2792,0.78,1.27E-06,2.65,0.803545845,9.81,0.064794167
3.27,0.023,0.01,0.4328,5.283,6.99E-07,2.65,0.916422536,9.81,0.404300408
1.99,0.00269,0.002751,0.1713,0.5,5.94E-07,2.68,0.631780502,9.81,0.092624092
2.4,0.00195,0.002731,0.1402,0.5,5.94E-07,2.68,0.586105563,9.81,0.087443287
3.73,0.016,0.0125,0.3072,5.709,6.99E-07,2.65,0.807273421,9.81,0.462272827
1.99,0.00269,0.002696,0.1853,0.5,5.94E-07,2.68,0.655250944,9.81,0.091282693
1.3,0.00032,0.00658,0.022,0.2,1.19E-06,2.65,0.318181818,9.81,0.112177641
1.99,0.00269,0.00268,0.1999,0.5,5.94E-07,2.68,0.675387694,9.81,0.092140327
1.99,0.00269,0.002727,0.185,0.5,5.94E-07,2.68,0.656313514,9.81,0.091884577
1.1,0.00795,0.00232,0.0922,0.914,5.94E-07,2.65,0.504017999,9.81,0.066059497
1.99,0.00269,0.002749,0.1847,0.5,5.94E-07,2.68,0.657379534,9.81,0.092175972
1,0.00376,0.00188,0.2786,0.78,1.04E-06,2.65,0.805276382,9.81,0.063366174
1.94,0.00333,0.002709,0.1875,0.5,5.94E-07,2.68,0.662368,9.81,0.09082806
1,0.00458,0.00187,0.2755,0.78,1.27E-06,2.65,0.814337568,9.81,0.060948457
1,0.00376,0.00256,0.5047,0.78,1.04E-06,2.65,1.016054219,9.81,0.098185635
1.99,0.00269,0.002773,0.1844,0.5,5.94E-07,2.68,0.658449024,9.81,0.092528371
1.99,0.00269,0.002712,0.1841,0.5,5.94E-07,2.68,0.659521999,9.81,0.090051997
1.3,0.00032,0.00427,0.072,0.2,1.28E-06,2.65,0.493055556,9.81,0.099214947
1.99,0.00269,0.002759,0.1993,0.5,5.94E-07,2.68,0.680260913,9.81,0.09322157
1,0.00458,0.0018,0.2466,0.78,1.20E-06,2.65,0.779810552,9.81,0.057265863
1,0.00458,0.0018,0.2463,0.78,1.20E-06,2.65,0.780760382,9.81,0.057057118
3.63,0.02,0.0125,0.3225,5.676,6.99E-07,2.65,0.835320758,9.81,0.453253987
1.08,0.0025,0.00145,0.0497,0.914,5.94E-07,2.65,0.405166227,9.81,0.034440255
1,0.00376,0.00212,0.4538,0.78,1.04E-06,2.65,0.988767219,9.81,0.077200601
1,0.0052,0.00326,0.0633,0.354,5.94E-07,2.25,0.446265206,9.81,0.081291231
1.99,0.00269,0.00273,0.2429,0.5,5.94E-07,2.68,0.745846027,9.81,0.093519085
