c(kg),Dgr,d/R,i,Fr
0.169,13.2423353,0.017096774,0.025,5.213235465
0.197,24.82739775,0.027777778,0.022,4.11453707
0.024,24.82739775,0.024390244,0.017,3.112174405
0.089,24.82739775,0.022222222,0.02,4.057952081
0.348,49.97107661,0.083333333,0.024,2.655368378
0.134,49.97107661,0.045454545,0.02,2.417574195
0.311,72.60964742,0.090625,0.02,2.399807836
0.052,72.60964742,0.070731707,0.021,1.874849872
0.358,139.0334274,0.155555556,0.031,1.475682512
0.352,139.0334274,0.136585366,0.031,1.639647235
0.382,210.7548514,0.175,0.022,1.537449793
0.747,210.7548514,0.171428571,0.02,1.743358247
0.073,13.2423353,0.007464789,0.017,7.566890295
0.041,13.2423353,0.007260274,0.015,6.720014491
0.043,13.2423353,0.007794118,0.017,7.313927392
0.172,24.82739775,0.016393443,0.018,6.677028723
0.195,24.82739775,0.01754386,0.019,5.561496079
0.082,24.82739775,0.01754386,0.017,4.82589122
0.056,24.82739775,0.014084507,0.012,4.963311908
0.269,49.97107661,0.033898305,0.02,4.54639831
0.397,49.97107661,0.035714286,0.02,4.036839346
0.156,49.97107661,0.028169014,0.016,4.184045269
0.155,49.97107661,0.028169014,0.017,3.459339187
0.233,49.97107661,0.027777778,0.018,4.954045481
0.173,72.60964742,0.05,0.02,2.929452924
0.714,72.60964742,0.05,0.021,3.707515621
0.441,72.60964742,0.051785714,0.019,3.449723764
0.259,72.60964742,0.041428571,0.019,4.044988598
0.095,72.60964742,0.04084507,0.017,3.046631041
0.07,72.60964742,0.041428571,0.017,2.784152059
0.432,139.0334274,0.098245614,0.025,1.947081092
0.65,139.0334274,0.093333333,0.021,2.664426757
0.59,139.0334274,0.1,0.021,2.374072559
0.46,139.0334274,0.078873239,0.02,2.958196887
0.18,139.0334274,0.077777778,0.017,2.268178675
0.134,139.0334274,0.078873239,0.016,2.090550225
0.333,210.7548514,0.144827586,0.02,2.292447459
0.488,210.7548514,0.14,0.022,2.157920602
0.639,210.7548514,0.15,0.02,1.932794025
0.126,210.7548514,0.118309859,0.018,1.836703413
0.036,24.82739775,0.018867925,0.027,4.397462016
0.078,24.82739775,0.018867925,0.028,5.197735434
0.137,24.82739775,0.022222222,0.028,4.559133414
0.05,24.82739775,0.018518519,0.025,4.470214145
0.044,24.82739775,0.025,0.032,3.637606447
0.214,49.97107661,0.037037037,0.031,3.98588345
0.136,49.97107661,0.045454545,0.035,2.887500795
0.188,49.97107661,0.040816327,0.031,3.544265681
0.095,72.60964742,0.054716981,0.029,2.70447094
0.097,72.60964742,0.054716981,0.028,2.582605698
0.143,72.60964742,0.064444444,0.041,2.231071347
0.108,72.60964742,0.063043478,0.039,2.11389323
0.142,139.0334274,0.101818182,0.027,1.899258047
0.13,139.0334274,0.124444444,0.031,1.725045529
0.191,139.0334274,0.124444444,0.033,1.933417365
0.056,139.0334274,0.101818182,0.028,1.793364163
0.243,139.0334274,0.101818182,0.03,2.281842402
0.293,210.7548514,0.178723404,0.034,1.449595519
0.385,210.7548514,0.171428571,0.03,1.715903787
0.131,210.7548514,0.15,0.026,1.537449793
0.513,210.7548514,0.15,0.031,2.015157407
